bo-acc,bo-donor,q-acc,q-donor,q-hatom,dist-dh,dist-ah,HB-type
0.1612,0.9374,-0.103606,-0.031759,0.039374,1.01829149340313,1.8817085077603,strong
0.137,0.9448,-0.109524,-0.030817,0.045067,1.01728875758754,1.9827112431449,strong
0.1171,0.9513,-0.114153,-0.029709,0.049349,1.01602813648297,2.08397186440288,strong
0.1003,0.9569,-0.11799,-0.029023,0.05296,1.01509421594006,2.18490578483901,strong
0.0862,0.9615,-0.121426,-0.028182,0.056129,1.01427121980533,2.28572877222122,strong
0.0738,0.9657,-0.124445,-0.027869,0.058823,1.01337154735069,2.38662845668196,strong
0.0632,0.9693,-0.127186,-0.027323,0.061239,1.01252761934665,2.48747238176783,strong
0.2326,0.8884,-0.131971,0.318655,0.097347,1.06058158873567,1.6394184111469,strong
0.1933,0.899,-0.142474,0.323574,0.109282,1.05739963549582,1.74260036145592,strong
0.1602,0.9097,-0.151735,0.329179,0.118016,1.05235042273937,1.84764957793518,strong
0.1365,0.9174,-0.155911,0.332857,0.124232,1.04935972781656,1.95064027071177,strong
0.1145,0.9251,-0.161025,0.336767,0.130162,1.04543973173734,2.05456027053889,strong
0.0979,0.9305,-0.163139,0.339288,0.134883,1.04321461086936,2.15678538996506,strong
0.081,0.9361,-0.166997,0.342052,0.140197,1.04024192887955,2.25975806964877,strong
0.0687,0.9399,-0.168029,0.343856,0.143922,1.03829410367492,2.36170589667981,strong
0.054,0.9441,-0.171856,0.345852,0.149418,1.0361386679924,2.46386133290204,strong
0.2469,1.0602,-0.050573,-0.195982,0.006044,0.98299765485457,1.71700234431223,strong
0.2095,1.0705,-0.065722,-0.191948,0.01813,0.98114318501247,1.81885681239794,strong
0.1797,1.0794,-0.077163,-0.187881,0.026884,0.97942165089867,1.92057834991616,strong
0.1555,1.0874,-0.085693,-0.184422,0.033187,0.9776994594555,2.02230053960143,strong
0.1353,1.0943,-0.092644,-0.18152,0.038286,0.97621189924059,2.1237880968519,strong
0.118,1.1004,-0.098547,-0.178957,0.042593,0.97483708994051,2.22516286318171,strong
0.103,1.1056,-0.103704,-0.176703,0.046394,0.97358199225843,2.32641795501878,strong
0.0894,1.1109,-0.108629,-0.174256,0.049588,0.97175363379489,2.42824639279947,strong
0.0779,1.1146,-0.112505,-0.172676,0.052832,0.97100844069718,2.52899152748728,strong
0.2313,0.8753,-0.125976,0.142311,0.080986,1.04639491786025,1.65360507913854,strong
0.192,0.8866,-0.140394,0.14509,0.091162,1.04201363455621,1.75798636276744,strong
0.1619,0.8963,-0.150405,0.147563,0.097885,1.03789005425895,1.86210994655018,strong
0.1382,0.9045,-0.157787,0.149607,0.10286,1.03432878882887,1.96567121012446,strong
